Тема,Вопрос,Ответ с пояснением
Messaging / Brokers (Kafka/Rabbit/NATS) + паттерны,"Kafka: Producer, Consumer, Topic, Partition?","Producer пишет, Consumer читает. Topic — канал. Partition — единица масштабирования и порядка."
Messaging / Brokers (Kafka/Rabbit/NATS) + паттерны,Что такое Consumer Group в Kafka?,"Группа потребителей, которые делят между собой партиции топика для параллельной обработки."
Messaging / Brokers (Kafka/Rabbit/NATS) + паттерны,Зачем нужен Exchange в RabbitMQ?,"Точка входа для сообщений, решающая в какие очереди отправить сообщение на основе правил роутинга."
Observability & SRE-мышление,Что такое утечка горутин и как ее обнаружить?,"Ситуация, когда горутина запущена, но никогда не завершится (зависла на чтении канала). Обнаруживается через pprof (анализ goroutine profile)."
Observability & SRE-мышление,"Упал прод, ты один, ночь пятницы. Твои действия?",1. Сообщить. 2. Rollback до стабильной версии. 3. Проверка. 4. Поиск причин в логах.
Observability & SRE-мышление,Разница между логами и метриками?,"Логи — детализация событий во времени. Метрики — агрегированные числовые данные (CPU, кол-во запросов)."
Observability & SRE-мышление,Что такое трейсинг (Tracing)?,"Отслеживание пути запроса через все микросервисы для поиска задержек (Jaeger, Zipkin)."
PostgreSQL и SQL (прод-уровень),Какие виды БД ты знаешь?,"Реляционные (PostgreSQL, MySQL) — строгая схема, SQL, ACID. NoSQL: Документные (MongoDB), Ключ-значение (Redis), Колоночные (ClickHouse)."
PostgreSQL и SQL (прод-уровень),"Зачем нужны NoSQL БД, если есть SQL?","Для гибкой схемы данных, горизонтального масштабирования и высокой скорости записи/чтения специфичных структур (кэш, логи)."
PostgreSQL и SQL (прод-уровень),Виды отношений в реляционных БД?,"1:1 (Профиль пользователя), 1:N (Пользователь и его посты), M:N (Студенты и курсы — через промежуточную таблицу)."
PostgreSQL и SQL (прод-уровень),Что такое транзакция?,"Логическая единица работы с БД, которая либо выполняется целиком и успешно, либо не выполняется вовсе."
PostgreSQL и SQL (прод-уровень),Расшифровка ACID?,"Atomicity (Атомарность), Consistency (Согласованность), Isolation (Изоляция), Durability (Долговечность)."
PostgreSQL и SQL (прод-уровень),Какие существуют уровни изоляции транзакций?,"Read Uncommitted, Read Committed (дефолт в PG), Repeatable Read, Serializable."
PostgreSQL и SQL (прод-уровень),"Чем отличаются уровни изоляции (Phantom, Dirty read)?",Dirty Read — чтение незакоммиченных данных. Non-repeatable read — данные меняются внутри транзакции. Phantom read — появляются новые строки.
PostgreSQL и SQL (прод-уровень),Что такое VACUUM в PostgreSQL?,"Процесс очистки «мертвых» строк (туплов), которые остаются после UPDATE или DELETE."
PostgreSQL и SQL (прод-уровень),Разница между EXPLAIN и EXPLAIN ANALYZE?,EXPLAIN показывает теоретический план запроса. EXPLAIN ANALYZE реально выполняет запрос и показывает фактическое время.
PostgreSQL и SQL (прод-уровень),Что такое индекс и как он ускоряет поиск?,"Отдельная структура данных (B-tree), которая хранит отсортированные ключи и указатели на строки."
PostgreSQL и SQL (прод-уровень),Как устроен B-tree индекс?,"Сбалансированное дерево: в узлах ключи для навигации, в листах — значения и ссылки на соседние листы."
PostgreSQL и SQL (прод-уровень),Что такое составной индекс (Composite Index)?,"Индекс по нескольким колонкам. Порядок важен: работает эффективно, только если в условии есть крайняя левая колонка."
PostgreSQL и SQL (прод-уровень),"Работает ли индекс INDEX(A, B) для запроса по B?",Почти никогда. Без условия по колонке A БД не может эффективно использовать дерево (правило левого префикса).
PostgreSQL и SQL (прод-уровень),Разница между кластеризованным и некластеризованным индексом?,Кластеризованный — данные физически упорядочены по индексу. Некластеризованный — отдельная структура со ссылками.
PostgreSQL и SQL (прод-уровень),Что такое шардирование?,Горизонтальное разделение данных между разными серверами БД для распределения нагрузки по CPU и диску.
PostgreSQL и SQL (прод-уровень),Что такое партиционирование?,"Разделение одной большой логической таблицы на несколько физических секций внутри одного сервера БД (например, по датам)."
PostgreSQL и SQL (прод-уровень),Что такое нормализация и уровни?,Процесс удаления дублирования данных. 1NF — атомарность. 2NF — зависимость от ключа. 3NF — отсутствие транзитивных зависимостей.
PostgreSQL и SQL (прод-уровень),Что такое денормализация и зачем она нужна?,Намеренное дублирование данных для ускорения чтений и избегания тяжелых JOIN-ов.
PostgreSQL и SQL (прод-уровень),Проблема Select N+1 и как ее решить?,Когда запрос списка объектов тянет за собой по одному запросу на каждый объект. Решается через JOIN или WHERE IN (...).
PostgreSQL и SQL (прод-уровень),Разница между WHERE и HAVING?,"WHERE фильтрует строки до группировки (GROUP BY), а HAVING — уже после выполнения агрегатных функций."
PostgreSQL и SQL (прод-уровень),Что такое оконные функции?,"Функции, выполняющие вычисления над набором строк, связанных с текущей (например, ROW_NUMBER()), не схлопывая их."
PostgreSQL и SQL (прод-уровень),Что такое WAL (Write Ahead Log)?,"Журнал, в который изменения записываются до того, как попадут в файлы данных. Гарантирует восстановление при сбое."
PostgreSQL и SQL (прод-уровень),Разница между репликацией и шардированием?,Репликация — копирование одних и тех же данных (отказоустойчивость). Шардирование — разделение разных данных (масштабируемость).
Professional Skills (ownership) + AI-workflow,Как ты решаешь конфликты с коллегами?,Через открытый диалог и факты. Если не помогает — привлекаю тимлида как арбитра.
Professional Skills (ownership) + AI-workflow,"Что делать, если тимлид дает плохую архитектуру?",Подготовить альтернативу с аргументами. Обсудить лично. Если решение принято — следовать ему.
Professional Skills (ownership) + AI-workflow,Ты командный игрок или одиночка?,«Командный игрок. Ценю обмен опытом и общее движение к цели».
Professional Skills (ownership) + AI-workflow,Как ты помогаешь junior-разработчикам?,"Менторство: подробные ревью, объяснения «почему», ссылки на документацию."
Professional Skills (ownership) + AI-workflow,Если в команде постоянно меняются приоритеты?,"Адаптируюсь, но поднимаю вопрос о прозрачности планирования."
Professional Skills (ownership) + AI-workflow,Что важнее: интересы бизнеса или пользователей?,"Синергия. Нужно искать баланс: быстро для бизнеса, качественно для пользователей."
Professional Skills (ownership) + AI-workflow,Что тебя больше всего мотивирует?,"Сложные архитектурные пазлы, реальная польза кода и сильная команда."
Professional Skills (ownership) + AI-workflow,"Твои действия, если описание задачи непонятное?","Иду к постановщику (ПМ, аналитик), задаю уточняющие вопросы до начала кодинга."
Professional Skills (ownership) + AI-workflow,Как ты относится к фидбеку (критике)?,"Позитивно. Код-ревью — способ сделать продукт лучше, а не критика личности."
Professional Skills (ownership) + AI-workflow,Что важнее для лида: софты или харды?,"Баланс. Харды — для авторитета, софты — для работы команды как механизма."
Professional Skills (ownership) + AI-workflow,От чего в работе кайфуешь больше всего?,"От момента, когда сложная система запускается и стабильно работает под нагрузкой."
Professional Skills (ownership) + AI-workflow,Как устроен процесс обмена информацией в компании?,"Daily-митинги, Wiki (Confluence), тех-чаты и перекрестное код-ревью."
Professional Skills (ownership) + AI-workflow,Желаемая ЗП (net)?,"Называть цифру на 15-20% выше той, на которую согласен."
Professional Skills (ownership) + AI-workflow,Когда ты готов выйти на работу?,Стандартные 2 недели + неделя на отдых для свежих сил.
Professional Skills (ownership) + AI-workflow,Что такое AI-workflow в разработке?,"Использование LLM для генерации тестов, рефакторинга и объяснения сложного легаси."
Security (backend-практика),Что такое JWT токен и из чего он состоит?,"Header (алгоритм), Payload (данные), Signature (цифровая подпись)."
Security (backend-практика),Как работает HTTPS (TLS Handshake)?,"Клиент проверяет сертификат, генерируют сеансовый ключ через асимметричное шифрование, затем данные шифруются симметрично."
Security (backend-практика),Как хранить пароли в БД?,"Только в виде хешей с солью (например, bcrypt или argon2)."
Security (backend-практика),Что такое SQL Injection?,"Атака, при которой вредоносный SQL-код внедряется в запрос через пользовательский ввод. Решается использованием подготовленных выражений (Prepared Statements)."
