№,Тема,Вопрос,Ответ,Компании,Встречается
88,Конкурентность в Python,Что такое event loop? Как он работает внутри?,"Event loop (цикл событий) — это центральный компонент асинхронного программирования в Python, который отвечает за управление и выполнение асинхронных задач, таких как корутины и асинхронные I/O операции. 

Это механизм, который постоянно проверяет, есть ли задачи, готовые к выполнению (например, завершившиеся операции ввода-вывода), и передаёт управление этим задачам.

### Как работает? 
*  Инициализация: 
  Обычно делается через asyncio.run() или asyncio.get_event_loop()
* Добавление задач в очередь (Сбор событий): 
  В процессе работы программы, когда создаются корутины или другие асинхронные задачи, они добавляются в очередь event loop.
* Обработка событий:
  1.  Ожидание задач: Event loop проверяет, есть ли задачи, готовые к выполнению
  2. Выполнение задач: Event loop берёт готовую задачу из очереди и передаёт ей управление.
  3. Обработка результатов: Когда задача завершается, event loop может передать результат другой корутине, ожидающей этого результата, либо вызвать обработчики завершения (callbacks).
  4. Возвращение к ожиданию: После выполнения текущих задач event loop снова переходит в режим ожидания или проверки новых событий.

* Завершение работы: 
  Event loop продолжает цикл, пока не будут выполнены все задачи и обработаны все события",,Часто
89,Конкурентность в Python,Как запустить чтение файла в асинхронном коде?,"Для асинхронного чтения файла можно использовать библиотеку aiofiles
Которая предоставляет асинхронный аналог стандартного чтения файла.

import asyncio
import aiofiles

async def read_file_async(f_path):
 async with aiofiles.open(f_path, mode='r') as f:
  content = await f.read()

asyncio.run(read_file_async('example.txt'))

Если не использовать библиотеку, то нужно открывать файл в отдельном потоке, чтобы обеспечить совместимость асинхронного кода с синхронным IO-вызовом",,Средне
90,Конкурентность в Python,Что такое потокобезопасность?,"Потокобезопасность - это концепия, которая описывает способность программы или её компонентов правильно работать в многопоточном окружении.

### Основные аспекты потокобезопасности:
В потокобезопасной программе данные, к которым обращаются несколько потоков, защищены от конкуретного доступа. Реализуется с помощью элементов синхронизации ( мьютексы, семафоры и др)

Это позволяет избежать race condition, где два или более потоков пытаются одновременно изменить одни и те же данные

from threading import Thread, Lock  
  
counter = 0  
lock = Lock()  
  
def increment():  
    global counter  
    for _ in range(1_000_000):  
        with lock:  
            counter += 1  
  
t1 = Thread(target=increment)  
t2 = Thread(target=increment)  
t1.start()  
t2.start()  
t1.join()  
t2.join()  
print(counter)

Пример показывает, как защитить объектом синхронизацию участок, в котором будет race condition в случае его отсутствия",,Часто
91,Конкурентность в Python,Какие ты знаешь способы синхронизации потоков?,"* Lock - используется для ограничения доступа к ресурсу таким образом, что только один поток может владеть блокировкой в любой момент времени.

* RLock - это рекурсивная блокировка, которая позволяет одному и тому же потоку захватывать блокировку несколько раз, без риска блокировки самого себя.

* Semaphore ограничивает количество потоков, которые могут одновременно выполнять определённую операцию

* Event позволяет одному потоку сигнализировать другим потокам о том, что они могут продолжить выполнение
event = Event()  
  
def wait_for_event():  
    print(""Waiting Event"")  
    event.wait()  
    print(""Received Event"")  
  
def set_event():  
    print(""Set Event"")  
    event.set()

* Condition позволяет потокам ждать определённого условия и продолжать выполнение, когда это условие становится истинным

 
condition = Condition()  
  
def wait_for_condition():  
    with condition:  
        print(""Waiting Condition"")  
        condition.wait()  
        print(""Condition was True"")  
  
def notify_condition():  
    time.sleep(1)  
    with condition:  
        print(""Notifying"")  
        condition.notify()
 

* Barrier — это синхронизатор, который позволяет определённому числу потоков достичь одной точки выполнения, прежде чем всем им будет разрешено продолжить работу.",,Часто
92,Конкурентность в Python,Рассккажи подробно про потоки и их плюсы/минусы?,"Определение: Поток — это наименьшая единица выполнения внутри процесса. Потоки одного процесса разделяют общую память и ресурсы процесса. В Python потоки создаются с помощью модуля threading. Переключает потоки ОС и GIL.

Плюсы:
* Легковесность: Создание и переключение между потоками требует меньше ресурсов по сравнению с процессами.
* Общая память: Потоки могут легко обмениваться данными через общую память, что упрощает коммуникацию.
* Подходят для I/O-bound задач: Могут улучшить производительность в задачах, связанных с вводом-выводом, за счет перекрытия операций ожидания.

Минусы:
* Глобальная блокировка интерпретатора (GIL): В CPython GIL позволяет исполнять байткод только одному потоку за раз, что ограничивает параллелизм в CPU-интенсивных задачах.
* Проблемы с безопасностью потоков: Общая память может привести к гонкам данных и требует использования механизмов синхронизации (блокировки, семафоры).
* Сложность отладки: Многопоточные приложения сложнее отлаживать из-за параллельного выполнения кода.

Параллельность на уровне ОС
Потоки переключаются по таймеру ОС (выполняются псевдопараллельно), если они выполняются на одном ядре, но выполнение на одном ядре не обязательно следует из выполнения внутри одного процесса. ОС может раскидать потоки одного процесса по разным ядрам и тогда они будут истинно параллельно выполняться, если оба ядра не заняты другими вычислениями. Можно изменять таймер через модуль sys в python. У каждого потока есть свой приоритет и ОС чаще отдаёт приоритет потокам с бОльшим приоритетом.
",,Часто
93,Конкурентность в Python,Когда нужно применять потоки?,"Когда использовать:
* Используются библиотеки, не поддерживающие асинхронную реализацию
* Архитектура приложения не асинхронная и внедрение асинхронности требует значительных изменений
* CPU-вычисления, не задействующие GIL (numpy, pandas)",,Часто
94,Конкурентность в Python,Расскажи подробно про процессы и их плюсы/минусы?,"Процесс — это экземпляр выполняемой программы. У каждого процесса есть собственное пространство памяти, ресурсы и контекст выполнения. В Python процессы создаются с помощью модуля multiprocessing.

Плюсы:
* Истинный параллелизм: Процессы могут выполняться одновременно на нескольких ядрах процессора, обходя Глобальную блокировку интерпретатора (GIL) в CPython, так как у каждого процесса свой GIL.
* Изоляция памяти: Каждый процесс имеет свое собственное пространство памяти, что снижает риски конфликтов данных между процессами.
* Стабильность: Ошибка или сбой в одном процессе не повлияет на другие процессы.

Минусы:
* Высокие затраты на создание: Создание процесса требует больше ресурсов и времени и памяти по сравнению с потоками.
* Сложность коммуникации: Взаимодействие между процессами требует использования механизмов межпроцессного взаимодействия (IPC), таких как очереди, каналы, общая память, сигналы, сокеты, семафоры что может быть сложнее и медленнее.",,Часто
95,Конкурентность в Python,Для каких задач лучше всего подходит асинхронность?,"Асинхронность лучше всего подходит для задач, связанных с интенсивным вводом-выводом, например в разработке микросервисов и API, где требуется высокая производительность и масштабируемость",,Часто
96,Конкурентность в Python,В какой момент потоки переключаются между собой? Можем ли мы управлять переключением потоков?,"* ### Вытесняющая многозадачность
 Операционная система использует таймер, который периодически прерывает выполнение текущего потока и передаёт управление другому потоку. Этот процесс называется вытесняющей многозадачностью. Таймер можно настроить через модуль sys в Python. Также у каждого потока есть приоритет и ОС чаще даёт выполнения потокам с бОльшим приоритетом.
 
 def task1():  
     while True:  
         x = 0  
         for i in range(100000):  
             x += i  
         print(""Task 1 is running"")  
   
 def task2():  
     while True:  
         y = 0  
         for i in range(100000):  
             y += i  
         print(""Task 2 is running"")
 
* ### Блокирующие операции
  Поток может добровольно уступить управление, когда он выполняет блокирующую операцию, такую как ввод-вывод
 
 def read_file():  
     print(""Opening file..."")  
     with open(""example.txt"", ""r"") as file:  
         print(""Reading file..."")  
         content = file.read()  # Блокирующая операция: чтение данных из файла  
     print(""File read complete."")  
     print(content)  
   
 def other_task():  
     print(""Starting other task..."")  
     for i in range(5):  
         print(f""Other task iteration {i}"")
 
* ### Явная передача управления
 Поток может сам явно уступить управление другим потокам, используя time.sleep(0) или threading.Event().wait(timeout=0)
 
 def task1():  
     for i in range(1_000):  
         print(f""Task 1 - Iteration {i}"")  
         time.sleep(0)  # Явное уступление управления другим потокам  
   
 def task2():  
     for i in range(1_000):  
         print(f""Task 2 - Iteration {i}"")  
         time.sleep(0)  # Явное уступление управления другим потокам

Итог: ОС переключает потоки, но поток для своего выполнения должен сначала перехватить GIL. То, как часто и когда отпускать GIL, определяет интерпретатор. Получается, что снаружи потоками управляет ОС, но внутри она ограничивается поведением GIL и интерпретатора.",,Часто
97,Конкурентность в Python,Что такое greenlet?,"
Greenlet — это библиотека для Python, которая предоставляет механизм управления корутинами. Она осуществляет ручное переключение корутин и более гибкое управление ими.  Она нужна, т.к. в asyncio корутинами управляет Event loop и мы не можем контролировать его работу.",,Редко
98,Конкурентность в Python,Где быстрее происходит переключение: в процессах или в потоках?,"Потоки, так как они выполняются на одном ядре и более легковесные",,Средне
99,Конкурентность в Python,Кто управляет переключением потоков?,"ОС, интеретатор и GIL. ОС переключает потоки, но поток для своего выполнения должен сначала перехватить GIL. То, как часто и когда отпускать GIL, определяет интерпретатор. Получается, что снаружи потоками управляет ОС, но внутри она ограничивается поведением GIL и интерпретатора.",,Часто
100,Конкурентность в Python,Кто управляет переключением корутин в асинхронном коде?,Event Loop,,Часто
272,Конкурентность в Python,"Представим, что есть runtime питона, при этом он встречает оператор await какой-то корутины, которая  отправляет запрос на select в БД. В каком месте происходит прерывание? В каком месте event loop отдается контроль? Когда идет продолжение этой задачи?
","1. Вызывается асинхронная функция, которая внутри себя делает await на некую операцию (например, обращение к базе данных).
2. При достижении оператора await эта корутина «приостанавливается»: Python «сворачивает» контекст выполнения (всё состояние функции), и управление возвращается в event loop.
3. Event loop в это время может заниматься чем-то ещё: либо переключать другие корутины, либо дожидаться поступления данных (IO) с помощью механизма вроде select/epoll.
4. Когда результат готов (например, когда драйвер БД сообщает, что данные получены), event loop «пробуждает» корутину и возобновляет её выполнение сразу после строки с await.
5. Корутина продолжается, используя полученные данные (результат SQL-запроса и т.д.).",VK,Редко
274,Конкурентность в Python,"Что определяет, кто и на каком ядре будет выполняться при асинхронном коде, при многопоточности, мультипроцессорности?","При асинхронном коде работает один поток и одно ядро: управление переключает event loop в рамках этого же потока.
При многопоточности распределением по ядрам занимается планировщик ОС, переключением GIL и планировщик ОС. (Контролирует в первую очередь GIL, т.к. он сильнее ограничивает переключение потоков, чем ОС, но ОС ограничивает сам GIL снаружи)
При мультипроцессорности у каждого процесса свой GIL, поэтому и за выбор ядра, и за переключение отвечает планировщик ОС.",VK,Иногда
275,Конкурентность в Python,Что такое race condition(состояние гонки)?,"Race condition (состояние гонки) — это ситуация в многопоточном или параллельном исполнении, когда несколько потоков или процессов пытаются одновременно обращаться к общим ресурсам (данным, файлам, сетевым соединениям) или их модифицировать. Итоговый результат программы при этом зависит от того, какой из потоков «выиграл гонку» и завершил операцию первым. Такой неуправляемый порядок действий приводит к непредсказуемым ошибкам (невалидные данные, сбои, коррумпированные файлы и т.д.).
Для защиты внутренних структур данных интерпретатора от гонки потоков защищает GIL.
Но при этом в Python все равно возникает состояние гонки, когда несколько потоков одновременно изменяют одну переменную.",VK,Часто
276,Конкурентность в Python,Что такое потоковое голодание?,"Потоковое голодание (thread starvation) — это ситуация, когда один или несколько потоков в многопоточной среде не получают достаточного времени на выполнение (или не могут получить нужные ресурсы) из-за постоянного «захвата» CPU или ресурсов другими потоками с более высоким приоритетом или более агрессивным доступом. В результате «голодающий» поток висит в ожидании и не может выполнить свою работу.",VK,Иногда
277,Конкурентность в Python,"Есть три сервиса: 1 - асинхронный питон, 2 - синхронный питон, 3 - многопоточка без gil. Мы знаем что они все упадут, в каком порядке это произойдет и почему?","Многопоточный сервис без GIL
* Без глобальной блокировки интерпретатора потоки могут одновременно обращаться к разделяемым данным. Если в коде нет аккуратной синхронизации, возникает риск гонок, дедлоков и прочих concurrency-багов.
* При высокой нагрузке такой сервис «сделает всё быстро» — в том числе и ошибётся быстро, так как одновременно работают много потоков и конфликты, утечки памяти, «падения» из-за неосторожного доступа к ресурсам случаются чаще.

Асинхронный сервис на Python
* Здесь GIL остаётся, но благодаря async/await можно обслуживать большое число соединений в одном процессе.
* Под сильной нагрузкой сервис может упереться в лимиты по памяти (слишком много отложенных задач), получить «шторма» по тайм-аутам или блокироваться на внешних ресурсах (БД, другие сервисы).
* Падение произойдёт, когда очередь запросов и неуспевающие операции накопятся настолько, что начнутся фатальные ошибки (OutOfMemory, зависания и т.д.).

Синхронный сервис на Python
* Обрабатывает запросы последовательно (или с ограниченным пулом потоков под веб-сервером).
* Из-за своей «медлительности» (по сравнению с первыми двумя вариантами) он меньше параллелит, поэтому «умрёт» последним: либо от критической переполненной очереди (когда наружные балансировщики перестанут ждать ответа), либо от системных ограничений по памяти/дискам при слишком долгом хранении данных.

Сначала падает многопоточный без GIL (максимум непредсказуемого параллелизма),
потом асинхронный Python (много одновременных операций, но всё-таки под контролем event loop),
и последним «ложится» синхронный Python (меньше concurrency, зато может задохнуться от очереди запросов или системных ограничений).",VK,Редко
286,Конкурентность в Python,Как под капотом работаеть асинхронное чтение файла(aiofiles)?,"Из-за того, что в большинстве ОС операции чтения и записи в файл на диске являются блокирующими, чтение файла (сист. вызов read()) блокирует другие одновременные чтения файла, пока данные не будут прочитаны с диска. Аналогично запись в файл (write()) блокирует другие записи. Важно, что одновременные чтение и запись друг друга по умолчанию не блокируют, если не настроен механизм блокировки в приложении. При этом чтение во время записи может извлечь незавершенную запись в файл.
Сама либа aiofiles написана довольно кринжово - при чтении файла создается отдельный поток (через ThreadPoolExecutor, завёрнутый в asyncio), в котором производится блокирующий системный вызов read() (write()). Этот вызов блокирует сам поток и, соответственно, чтение (запись) другими потоками, но при этом не блокирует выполнение других корутин внутри Event Loop, т.к. он находится в другом потоке. Получается, что тут всего лишь имитируется асинхронность путем вынесения блокирующей операции в отдельный поток.

Справка:

*Файловый дескриптор - числовой идентификатор, с помощью которого ОС работает с файлом. Т.е. системный вызов open() возвращает файловый дескриптор, а write() и read() получают его на вход и понимают, с каким файлом надо работать.
К стандартному файловому дескриптору относится файл, но ещё есть дургие файловые дескрипторы - сокеты, каналы, устройства.

Дополнение про одновременное удаление файла потоками:
Если один поток изменяет файл, а второй удаляет его, файл удалится из каталога, но его содержимое останется существовать в файловой системе пока не закроются все файловые дескрипторы для этого файла. 

Дополнение про процессы:
Каждый процесс может читать/писать файл одновременно с другими процессами, т.к. у каждого процесса свой файловый дескриптор.
","WB, Авито, Литрес",Часто
287,Конкурентность в Python,Как работает aiohttp на уровне OC?,"AioHttp позAioHttp позволяет асинхронно выполнять запросы и получать ответы в неблокирующем режиме. 

Алгоритм:
1. Aiohttp создаёт (или использует из пула) неблокирующий сокет, регистрирует его в Event Loop
2. Пока ответ ожидается, Event Loop выполняет другие корутины
3. Когда ответ поступает на сокет, ОС обновляет его состояние.
4. Механизм мультиплексирования* (epoll - linux, kqueue - mac, iocp - windows) обнаруживает, что сокет готов к чтению, и отправляет сигнал для event loop об этом
5. Event Loop возобновляет выполнение соответствующей корутины, которая делает системный вызов recv()** для чтения инфы из сокета

Справка:
* Механизм мультиплексирования - метод, позволяющий эффективно обрабатывать множество соединений или потоков данных одновременно на уровне ОС. Он постоянно следит за состоянием каждого сокета и уведомляет сервер, если на каком-то из сокетов появились данные. Чем-то похоже по принципу работы на Event loop, но на уровне ОС (эту фразу лучше не говорить на собесе, я просто для себя грубую аналогию провёл)

**recv() - функция на языке Си, которая встроена в ОС для чтения данных из сокетаволяет асинхронно выполнять запросы и получать ответы в неблокирующем режиме.","WB, Litres, Авито",Часто
344,Конкурентность в Python,Когда нужно применять процессы?,"Когда использовать:
* CPU-интенсивные задачи: При выполнении CPU-bound операций, которые могут быть распараллелены по ядрам процессора.
* Необходимость изоляции: Когда требуется полная изоляция между задачами для обеспечения безопасности или стабильности.
* Обход ограничений GIL: Для выполнения параллельных вычислений в CPython, где GIL ограничивает многопоточность.",,Часто
345,Конкурентность в Python,"
Что такое deadlock?","Deadlock (взаимная блокировка) — это ситуация в многопоточной или многопроцессной среде, когда несколько потоков (или процессов) «застревают» в ожидании ресурсов, удерживаемых друг другом. Каждый поток ждёт, пока освободится ресурс, который занят другим потоком, и никто из них не может продолжить работу, в результате чего возникает «петля ожидания».",,Иногда
346,Конкурентность в Python,Какие есть механизмы общения процессов (IPC)?,"Каналы, сокеты, очереди, общая память, сигналы, высокоуровневые протоколы (HTTP, gRPС и так далее), брокеры",,Средне
347,Конкурентность в Python,Как устроена под капотом Celery?,"Celery – это асинхронная распределённая очередь задач для Python. Она позволяет определять задачи (функции), отправлять их в очередь и обрабатывать эти задачи асинхронно одним или несколькими воркерами. Основная идея заключается в том, что вы определяете функции как задачи, затем вызываете их не напрямую, а через очередь. Эти задачи отправляются посреднику (брокер/БД), а воркеры, которые подписаны на очереди, получают задачи и исполняют их.

Компоненты:
* Producer - часть приложения, которая создаёт задачи и отправляет их в Сelery (Fastapi приложение, например)
* Брокер (RabbitMQ/Redis/PostgreSQL) - отвечает за приём задач от отправителя (клиента) и их доставку к воркерам.
* Consumer - сущность, которая получает задачи из брокера и обрабатывает их (воркеры)
* Главный воркер - главный процесс, который подключается к брокеру, запускает дочерние процессы (воркеры) и раздаёт им задачи, сохраняет их результат
* Дочерние воркеры - запущены в отдельных процессах, выполняют celery задачи (воркер берёт одну задачу, выполняет ее до конца и берет следующую)

Воркеры в Celery могут быть процессами, потоками и корутинами в зависимости от конфигурации.",,Иногда
348,Конкурентность в Python,Как сделать приложение на синхронном фреймворке асинхронным?,"Многопроцессорность, многопоточность, Celery, Monkey-patching","Домклик, Литрес",Иногда
349,Конкурентность в Python,Что такое Monkey-patching?,"Monkey-patching в контексте Python — это приём, когда на этапе запуска программы (или модуля) некоторые стандартные функции и классы заменяются (патчатся) «на лету» своими версиями. Например, gevent или eventlet подменяют блокирующие операции ввода-вывода (I/O) в стандартной библиотеке Python greenlet-ами.
Патчинг заменяет стандартные модули socket, ssl, select, time, и т.д. на корутины.
Когда ваш код вызывает, к примеру, socket.socket.recv(), реальный вызов идёт не в классический блокирующий системный вызов, а в специальную обёртку, которая приостанавливает только текущий «зелёный поток» (greenlet), а не весь интерпретатор.
В результате, если один «зелёный поток» (корутина gevent/eventlet) ожидает данных из сети, другие greenlets могут в это же время выполняться (по сути, кооперативная многозадачность).
",,Редко
357,Конкурентность в Python,Приходилось ли работать с Event Loop напрямую?,"Да, в ситуациях, когда приходилось работать с гибридом синхронного и асинхронного кода. 
Пример:

Сценарий
* В нашем бэкенд-приложении есть Celery для фоновых задач.
* Нужно периодически или по событию вызывать внешний сервис, который удобнее (или единственно возможно) дергать асинхронно, к примеру с использованием aiohttp.
* Мы не хотим (или не можем) переводить весь Celery-воркер на полностью асинхронную модель.
* Решение: запустить asyncio event loop в отдельном потоке при старте воркера и взаимодействовать с ним через asyncio.run_coroutine_threadsafe().

```
import threading
import asyncio
import aiohttp

from celery import Celery

app = Celery(""myapp"", broker=""redis://localhost:6379/0"")

# Глобальные переменные
loop = None
_loop_thread = None

def start_event_loop_in_thread():
    """"""Запуск event loop в фоновом потоке.""""""
    global loop, _loop_thread
    loop = asyncio.new_event_loop()
    _loop_thread = threading.Thread(target=loop.run_forever, daemon=True)
    _loop_thread.start()

# При инициализации модуля запустим event loop
start_event_loop_in_thread()


async def fetch_data_async(url: str) -> str:
    """"""Асинхронная функция, делающая GET-запрос.""""""
    async with aiohttp.ClientSession() as session:
        async with session.get(url) as resp:
            return await resp.text()

def fetch_data_sync(url: str) -> str:
    """"""Синхронная обёртка для асинхронной функции fetch_data_async().""""""
    future = asyncio.run_coroutine_threadsafe(
        fetch_data_async(url),  # наша асинхронная корутина
        loop                    # глобальный event loop
    )
    # .result() блокирует текущий поток до завершения корутины
    return future.result()

@app.task
def fetch_data_task(url: str) -> str:
    """"""
    Задача Celery, которая, будучи синхронной,
    вызывает асинхронный код через обёртку.
    """"""
    print(f""[Celery-task] Запрашиваем данные по URL={url}"")
    data = fetch_data_sync(url)
    # Можно дальше обрабатывать, сохранять в БД и т.п.
    print(f""[Celery-task] Длина ответа = {len(data)}"")
    return data[:100]  # возвращаем первые 100 символов как пример

```
",,Средне
401,Конкурентность в Python,Расскажи про вытесняющую кооперативную многозадачность ?,"Вытесняющая многозадачность - это потоки в питоне, т.к. они могут быть принудительно прерваны планировщиком (интерпретатором, гилом и ос)
Кооперативная многозадачность - это корутины, потому что они сами уступают друг другу управление через yield, await",,Редко
402,Конкурентность в Python,Что происходит когда пишешь await под капотом?,"У корутины, являющейся частным случаем генератора, вызывается dunder-метод __await__, который под капотом использует конструкцию yield from. Далее Event Loop переключает выполнение корутин в точках await по мере их готовности к выполнению (см. механизм мультиплексирования)",,Часто
403,Конкурентность в Python,Почему gil освобождается при вводе выводе?,"Для того, чтобы не блокировать выполнение кода на операции ввода-вывода, так как фактически в этот момент код на python не выполняется, а происходит ожидание ответа извне, что является неоптимальным.",,Средне
404,Конкурентность в Python,Как в асинхронном коде запустить синхронную функцию?,"i/o функцию через loop = asyncio.get_running_loop(), loop.run_in_executor(), а cpu-задачу сверху обернуть ещё в ProcessPoolExecutor()",,Средне
252,Логирование,Как ты пишешь логи в своих приложениях?,"Использую стандартный модуль logging в Python или структурированные библиотеки типа structlog. Настраиваю форматеры, уровни и хендлеры для вывода в консоль, файл или удаленный сервер. Избегаю print, всегда добавляю контекстную информацию вроде request_id или user_id.",,Средне
253,Логирование,Зачем нужно делать логи в JSON формате?,"JSON формат удобен для машинного парсинга и агрегации в системах типа ELK. Позволяет фильтровать логи по конкретным полям, а не по тексту, и избегает проблем с экранированием спецсимволов в сообщениях.",,Редко
254,Логирование,Где ты смотришь логи своих приложений?,"В централизованных системах агрегации: Kibana, Grafana Loki, CloudWatch, Google Cloud Logging. Для локальной отладки использую docker logs или journalctl.",,Часто
255,Логирование,Что такое event driven logging?,"Это логирование значимых событий бизнес-логики, например пользователь зарегистрировался или платеж прошел, а не только технических ошибок. Такие логи часто отправляются в аналитические системы или брокеры сообщений для дальнейшей обработки и аудита.",,Редко
256,Логирование,Какие ты знаешь уровни логирования?,"DEBUG для детальной отладки, INFO для подтверждения нормальной работы, WARNING для неожиданных событий без остановки, ERROR для ошибок в выполнении функции, CRITICAL для серьезных ошибок требующих немедленного вмешательства.
",,Иногда
